"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
329149,"m2e","ui","m2e.ui-inbox","NEW"," ---","[refactoring] Participate in the project rename","2010-10-30 20:03:14"
350161,"m2e","editors","m2e.core-inbox","RESOLVED","FIXED","Opening Parent POM in Editor corrupts repository file","2011-07-26 03:28:21"
338804,"m2e","ui","mkleint","RESOLVED","FIXED","error recovery after failed to-be-imported project analysis","2011-03-21 10:14:28"
337912,"m2e","ui","fbricon","RESOLVED","FIXED","[discovery] Discovery URL should be configurable","2012-03-19 21:57:05"
355882,"m2e","Core","fbricon","RESOLVED","FIXED","unexpected ""Overriding managed version""","2015-02-05 14:18:49"
359855,"m2e","Core","fbricon","RESOLVED","FIXED","ArchetypeArtifactManager fails to resolve local archetypes properly","2012-08-16 18:01:20"
335701,"m2e","ui","igor","RESOLVED","FIXED","[import] [discovery] Search for lifecycle mapping as part of import / create workflow","2011-03-03 17:44:45"
335711,"m2e","Core","igor","RESOLVED","FIXED","Investigate improvements to code generation support","2011-10-17 17:43:39"
337003,"m2e","Core","igor","RESOLVED","FIXED","Classes copied from Maven 3.0.3","2012-05-21 11:28:07"
338252,"m2e","Core","igor","RESOLVED","FIXED","can't launch embedded maven runtime using IBM JVM","2012-03-20 03:53:24"
338868,"m2e","ui","igor","RESOLVED","FIXED","Import wizard should show p2 dependency resolution errors","2011-03-09 22:20:54"
339207,"m2e","ui","igor","RESOLVED","FIXED","Import Maven project won't close when there have been errors/warnings","2011-03-09 22:30:28"
339433,"m2e","Core","igor","RESOLVED","FIXED","NotSerializableException: org.apache.maven.project.MavenProject","2011-03-09 21:51:08"
341033,"m2e","Core","igor","RESOLVED","FIXED","classloader leak in import wizard in some cases","2011-04-12 13:08:41"
341038,"m2e","Core","igor","RESOLVED","FIXED","[patch] Checkout as Maven Project outside of workspace creates and doesn't rename a maven.{some number} folder","2012-07-30 11:16:07"
341127,"m2e","Core","igor","RESOLVED","FIXED","no index download progress","2011-03-30 13:45:39"
342232,"m2e","Core","igor","RESOLVED","FIXED","eager activation of m2e.core.ui bundle","2011-04-12 11:46:35"
343180,"m2e","Core","igor","RESOLVED","FIXED","cache parsed user settings.xml","2011-04-18 14:08:11"
343526,"m2e","Core","igor","RESOLVED","FIXED","NPE in ProjectRegistryManager after workspace restart","2011-04-21 10:17:24"
343530,"m2e","Core","igor","RESOLVED","FIXED","pom.xml changes are ignored in some cases","2011-04-21 12:04:33"
343568,"m2e","Core","igor","RESOLVED","FIXED","MavenDependencies classpath container is empty if single <dependency/> element is invalid","2012-05-20 13:32:53"
345139,"m2e","ui","igor","RESOLVED","FIXED","Update Project Configuration silently fails if parent project does not have Maven nature","2011-05-16 22:31:17"
349586,"m2e","Core","igor","RESOLVED","FIXED","Extra source folders added by build-helper-plugin are not made available to plugins","2011-09-30 13:14:28"
352411,"m2e","ui","igor","RESOLVED","FIXED","Dependency Hierarchy doesn't resolve dependencies from workspace","2011-08-01 04:25:01"
353266,"m2e","jdt","igor","RESOLVED","FIXED","preserve custom .classpath entries during project import and configuration update","2011-09-27 20:30:33"
353312,"m2e","Core","igor","RESOLVED","FIXED"," @requiresDependencyResolution is not honoured","2011-07-28 10:25:41"
356645,"m2e","Core","igor","RESOLVED","FIXED","dependency resolution takes forever when missing dependencies","2013-02-19 14:34:42"
356820,"m2e","ui","igor","RESOLVED","FIXED","pom editor fails to open with CNFE: org.eclipse.ui.plugin.AbstractUIPlugin","2011-09-06 11:56:22"
359158,"m2e","Core","igor","RESOLVED","FIXED","[discovery] support incompatibilities between m2e and catalog entries","2011-09-28 18:20:21"
359340,"m2e","Core","igor","RESOLVED","FIXED","[patch] Provide a way to allow customization of the maven model when converting to a Maven project","2012-07-13 08:56:19"
359725,"m2e","Core","igor","RESOLVED","FIXED","NullPointerException on maven project import","2011-10-03 17:55:59"
361549,"m2e","jdt","igor","RESOLVED","FIXED","process compile source roots even if the do not exist","2011-10-20 16:34:52"
362295,"m2e","Core","igor","RESOLVED","FIXED","Pass Eclipse Incremental build arguments to build participants","2011-11-07 15:23:19"
364721,"m2e","Core","igor","RESOLVED","FIXED","Automatic sources download is broken in Juno M3","2011-12-04 22:39:25"
366998,"m2e","Core","igor","RESOLVED","FIXED","Make maven launch configuration extensible","2011-12-19 22:40:17"
367547,"m2e","Core","igor","RESOLVED","FIXED","Single action to update dependencies, project configuration and rebuild","2012-01-25 07:53:21"
241391,"m2e","Core","m2e.core-inbox","RESOLVED","INVALID","P","2008-07-18 09:03:12"
330408,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Process-Resources doesn't always process generated-sources","2011-01-21 12:52:04"
335095,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Embedder shows incorrect version","2011-01-24 13:02:44"
335306,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","mapping for maven-plugin-plugin:helpmojo","2011-01-27 09:37:02"
335720,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Add a preference to automatically update configuration","2015-03-24 17:53:50"
335750,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[doc][lm] Describe the user experience resulting from the changes","2011-09-13 21:36:51"
336461,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","update archetyper runtime to version 2.3","2015-03-24 14:06:29"
336912,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Endless ""building workspace"" loop after opening project or changings","2013-06-06 03:09:49"
337238,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","[discovery] Investigate problems with p2 discovery bundle in Indigo repository","2011-02-23 09:40:52"
337341,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Saving a .java file should not rerun the whole maven build","2011-02-16 16:21:23"
337353,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[patch] Cannot use ! to disable a profile","2011-12-21 18:10:44"
337472,"m2e","Core","m2e.core-inbox","RESOLVED","WORKSFORME","Projects with a packaging type of bundle are not imported as java projects","2011-02-17 13:50:46"
338453,"m2e","editors","m2e.core-inbox","RESOLVED","FIXED","Jump to location does not work for pom. and project. properties","2011-03-08 02:26:38"
338539,"m2e","editors","m2e.core-inbox","RESOLVED","FIXED","Quickfix to address mojo execution issue in the parent","2011-07-20 02:07:14"
339557,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","same installable unit appears multiple times in maven discovery install wizard","2011-03-14 22:51:49"
339732,"m2e","Core","m2e.core-inbox","RESOLVED","WORKSFORME","Wrong action/job text in progress bar during project import","2011-04-25 11:33:57"
339969,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Graduate m2e","2011-06-06 16:19:17"
339970,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Sign m2e with foundation certificates","2011-06-06 16:22:47"
340044,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","0.12 fails to set up java nature on imports","2011-03-15 11:47:34"
340194,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","NPE in import wizard","2011-03-21 10:26:22"
340507,"m2e","jdt","m2e.core-inbox","RESOLVED","FIXED","File encoding configuration.","2013-02-11 19:15:04"
340529,"m2e","Core","m2e.core-inbox","RESOLVED","WONTFIX","Wish to use jdt virtual folder / linked resource","2011-03-22 12:07:38"
341021,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","exception right after m2e activation","2011-03-30 13:46:25"
341026,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","m2e fails to download available artifacts","2011-03-30 13:45:59"
341047,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","import wizard does not preselect workspace basedir","2011-03-27 13:24:45"
341059,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","Archetype properties are not set in the Maven Module wizard","2011-05-12 13:28:22"
341253,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","better support cross-project resource references","2011-03-29 13:33:11"
341257,"m2e","Core","m2e.core-inbox","RESOLVED","WORKSFORME","Archetype Project Creation Fails with NPE","2011-07-01 08:51:03"
341513,"m2e","Core","m2e.core-inbox","RESOLVED","WORKSFORME","Error creating Maven project using maven-archetype-webapp","2011-11-21 09:49:57"
342301,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","NPE when m2e tries to download sources","2011-04-20 14:57:50"
342385,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Conflicting dependency on update","2011-04-13 09:59:19"
342804,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Missing org.sonatype.maven.wagon.AhcWagon in m2e 0.12.2 prevents using remote archetype catalogs","2011-04-16 00:27:44"
342894,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","MavenDiscoveryService does not delete temporary files","2011-04-27 10:46:34"
342903,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Improving m2e performance","2013-02-11 19:20:05"
342910,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","improved snapshot dependency management","2011-04-20 10:25:23"
342913,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","NPE in import wizard when discovery is not installed","2011-04-15 09:36:30"
343026,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","use variables to specify base directory in Maven launch configuration","2015-11-10 17:28:06"
343038,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Support ""[name]"" in in the ""name template"" (from <name/> in pom.xml) for importing projects","2014-11-12 10:28:23"
343222,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","remove Open*** right-click Maven menu actions","2011-04-19 00:48:05"
343310,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[mojo] build-helper-maven-plugin add-resource and add-test-resource goals","2011-09-28 22:59:12"
343360,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Change in M2EPluginActivator leads to NoSuchFieldError in e3.6","2011-04-20 10:05:34"
343818,"m2e","jdt","m2e.core-inbox","RESOLVED","FIXED","File encoding for resources","2013-02-11 19:16:34"
343833,"m2e","embedder","m2e.core-inbox","RESOLVED","FIXED","importing existing maven projects hangs","2011-04-27 10:22:17"
343835,"m2e","Core","m2e.core-inbox","RESOLVED","WORKSFORME","org.eclipse.m2e:lifecycle-mapping should work in parent","2011-05-09 11:04:28"
343927,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[patch] Set project file encoding based on project.build.sourceEncoding property","2011-08-03 08:44:44"
344592,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","Obscure Error Message in m2e Marketplace","2011-08-04 01:51:51"
344657,"m2e","jdt","m2e.core-inbox","RESOLVED","FIXED","[patch] Folder file encoding not reverted when m-compiler-p config removed","2011-08-03 08:45:34"
344677,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[regression] m2e no longer downloads archetypes due to missing ZStream class in netty","2011-05-05 13:26:18"
344712,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Add default lifecycle mapping for Tycho 0.12.0 and later","2011-05-04 11:17:44"
344823,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","m2e-wtp linked in wrong version in marketplace","2011-05-20 12:02:18"
344934,"m2e","Core","m2e.core-inbox","RESOLVED","NOT_ECLIPSE","WTP Integration has some incompatibilites","2011-05-06 09:50:52"
344958,"m2e","Core","m2e.core-inbox","RESOLVED","WORKSFORME","Creating org.apache.karaf.archetypes fails with ""Can't rename Can't rename C:\ws\test""","2011-05-09 09:44:26"
344990,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Archetype selection shows nothing when snapshots present and ""only latest"" is activated","2011-08-03 15:30:56"
344997,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","""Select..."" button for Goals in m2e ""Run Configurations"" always shows ""No entries available""","2014-08-15 12:09:11"
345159,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Add a setPath(IPath path) method on IClasspathEntryDescriptor","2011-05-10 00:31:56"
345557,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","m2e logs error during ""Update Project Configuration"" for closed projects","2011-05-12 09:06:56"
345681,"m2e","Core","m2e.core-inbox","RESOLVED","INVALID","Import OSGi bundle results in wrong compiler compliance level","2011-05-18 02:08:26"
345746,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","[patch] Confusing ""Update Maven Dependencies"" title for the Update project configuration popup","2011-09-29 20:42:21"
345948,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Deprecated goal added to context menu of the project in Run As submenu","2011-05-16 10:05:12"
346563,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","org.eclipse.m2e.usagedata has wrong bundle name and provider id","2011-05-19 22:14:10"
346794,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","Inappropriate ""Run As"" options for Java class","2011-05-25 00:00:36"
346830,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","no license info for ""antlr"" component in m2e marketplace","2011-06-22 04:46:12"
347035,"m2e","ui","m2e.core-inbox","RESOLVED","DUPLICATE","Mnemonic clash for marketplace menu items","2011-05-24 16:30:08"
347458,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[mojo] antlr configuration is not compatible with latest m2e","2011-06-25 23:39:11"
347556,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] Checkstyle and PMD","2011-06-07 22:34:18"
347602,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","NPE if VersionRange is missing in PluginExecutionFilter","2014-03-15 10:05:14"
347948,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","missing about files","2011-06-06 15:06:55"
348791,"m2e","Core","m2e.core-inbox","RESOLVED","DUPLICATE","m2e project configurators don't run in a defined order","2015-05-04 00:21:24"
349128,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Update the Eclipse Market Place entry","2011-08-01 06:49:03"
350138,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[mojo] reconcile maven-jar-support from m2e/wtp and mavenarchiver.pomproperties","2011-07-26 02:52:54"
350443,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Quickfix for lifecycle mapping ignore does not always work","2011-08-03 08:10:41"
350449,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[mojo] org.codehaus.gmaven:gmaven-plugin support","2011-12-22 17:09:14"
350665,"m2e","embedder","m2e.core-inbox","RESOLVED","FIXED","Maven Installations shows version 3.0.2, instead of the installed runtime 3.0.3","2011-06-29 15:51:03"
350671,"m2e","Core","m2e.core-inbox","RESOLVED","DUPLICATE","Eclipse freezing during startup","2011-06-29 11:22:12"
350909,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] de.theit.m2e.axistools","2011-07-11 08:04:02"
350953,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","Console unreadable with dark theme","2019-02-19 17:16:58"
350956,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Workspace resolution doesn't find newly opened projects","2011-08-01 03:20:00"
351144,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","Maven Console view produces no output","2011-07-06 03:44:03"
351538,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","launch configuration prompts variables twice","2013-01-24 05:49:49"
351556,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Error while installing m2e-cvs SCM handler from m2e marketplace","2011-07-11 09:22:37"
351636,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] connector for javacc-maven-plugin","2012-12-03 07:07:13"
351637,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] connector for maven-jflex-plugin","2011-07-25 12:57:02"
351638,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] connector for maven-scm-plugin","2011-07-25 12:57:01"
351639,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] connector for jsc-maven-plugin","2011-07-25 12:57:02"
351640,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] connector for ckpackager-maven-plugin","2011-07-25 12:57:02"
352056,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] connectors for jaxb2 and xmlbeans","2011-08-01 09:29:10"
352059,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] wrong info site","2011-08-05 07:22:00"
352686,"m2e","Core","m2e.core-inbox","RESOLVED","INVALID","m2Eclipse extras not available with Indigo?","2011-08-01 04:33:47"
352943,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","[patch] Plug-in 'org.eclipse.m2e.refactoring' contributed an invalid Menu Extension (MNGECLIPSE-1732)","2011-12-14 09:57:40"
352962,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","<type>test-jar</type> no longer resolves to proper dependent classpath","2014-02-02 14:48:43"
352967,"m2e","Core","m2e.core-inbox","RESOLVED","INVALID","jboss-har dependencies ignored","2011-07-26 02:19:01"
353173,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Checkout as Maven Project fails at importing project","2011-08-03 07:55:11"
353174,"m2e","Core","m2e.core-inbox","RESOLVED","WORKSFORME","No output on Maven console in spite of slf4j installed","2011-08-16 08:07:54"
353361,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] restore m2e-wtp to the m2e marketplace","2011-08-01 09:28:26"
353488,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","project import fails on eclipse 3.5.x and earlier","2011-08-01 09:32:39"
353529,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] m2e-android","2011-08-02 08:35:54"
353781,"m2e","jdt","m2e.core-inbox","RESOLVED","FIXED","m2eclipse fails when maven-compiler-plugin targets ""5"", ""6"", or ""7""","2011-09-12 07:26:38"
353956,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","remove swtbot-based integration test plumbing","2011-08-05 01:23:50"
354505,"m2e","jdt","m2e.core-inbox","RESOLVED","FIXED","Maven launch cannot locate sources on the classpath of the project","2012-05-29 20:40:02"
355300,"m2e","editors","m2e.core-inbox","RESOLVED","FIXED","[patch] Adding a managed dependency adds a blank dependency instead","2013-05-04 13:28:15"
355331,"m2e","editors","m2e.core-inbox","RESOLVED","WONTFIX","Advanced tabs gone.","2011-08-22 17:23:13"
355883,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","add module generates redundant parent relativePath=..","2011-08-25 13:39:43"
356796,"m2e","editors","m2e.core-inbox","RESOLVED","FIXED","""GroupId is duplicate of parent groupId"" warning generated","2012-05-20 11:42:19"
358283,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","remove org.eclipse.m2e.usagedata","2011-09-27 14:59:25"
358620,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","automatically reparse/recache settings.xml","2011-11-07 12:54:57"
359055,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Download page improvements required","2012-01-17 11:10:06"
360962,"m2e","jdt","m2e.core-inbox","RESOLVED","FIXED","Update Project Configuration modifies forbiddenReference-Setting in org.eclipse.jdt.core.prefs","2011-11-07 13:17:00"
361038,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","NPE in ResourceScanner.scanResource","2011-11-07 12:55:40"
361438,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] AspectJ configurator","2011-11-21 21:05:27"
361445,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Attach the missing ArtifactKey to dependency resolution markers","2013-05-05 12:12:35"
361642,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","Automatically disable maven-dependency-plugin goals, or offer quick fix","2015-02-20 07:11:38"
363151,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","[patch] Make ProjectConfigurationUpdateRequired message a bit more explicit","2011-12-04 23:43:59"
363190,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","org.eclipse.m2e.core has dependency on Eclipse UI","2012-12-11 10:17:53"
363574,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] m2e-android 0.3.0 -> 0.4.0","2011-11-14 06:26:51"
364457,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] JRebel m2eclipse Integration","2011-11-24 10:56:19"
364470,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Updated Axistools m2e lifecycle extension to be compatible with m2e 1.1.x","2011-11-24 10:55:59"
364780,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] bitstrings.org - m2e-connectors (dependencypath, jaxb2 and xmlbeans)","2011-11-29 16:01:40"
365958,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] bitstrings.org - m2e-connectors (dependencypath, jaxb2 and xmlbeans)","2011-12-15 21:25:53"
366176,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","Nullpointer exception when Maven Update Project Configuration","2011-12-09 07:16:08"
366652,"m2e","ui","m2e.core-inbox","RESOLVED","FIXED","Update Dependencies Dialog throws IllegalArgumentException if maven project is stored within Jazz source control","2012-05-17 14:29:08"
366745,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","[catalog] the JiBX m2e Extension","2011-12-15 21:26:14"
366839,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","m2e uses wrong user agent when resolving artifacts from http/https repositories","2012-01-08 13:27:41"
367468,"m2e","Core","m2e.core-inbox","RESOLVED","FIXED","m2e activated by opening any XML file","2012-01-08 13:28:47"
334462,"m2e","editors","m2e.editors","RESOLVED","FIXED","Trim versions covered by dependencyManagement when adding dependencies","2011-01-27 08:43:33"
335266,"m2e","editors","m2e.editors","RESOLVED","WONTFIX","Open XML Configuration on plugin is ineffective","2011-03-07 08:42:30"
335299,"m2e","editors","m2e.editors","RESOLVED","FIXED","investigate merging multiple ""discover"" quick fixes","2011-02-09 04:29:04"
335381,"m2e","editors","m2e.editors","RESOLVED","FIXED","Rename Search to Filter on editor pages","2011-01-26 08:34:19"
335457,"m2e","editors","m2e.editors","RESOLVED","FIXED","Remove Reporting page","2011-01-27 06:44:11"
258021,"m2e","ui","m2e.ui-inbox","RESOLVED","INVALID","test task","2008-12-09 11:05:50"
258022,"m2e","ui","m2e.ui-inbox","RESOLVED","INVALID","test task","2008-12-09 11:05:12"
258393,"m2e","ui","m2e.ui-inbox","RESOLVED","INVALID","aaaa","2008-12-11 02:35:48"
333152,"m2e","ui","m2e.ui-inbox","RESOLVED","FIXED","After installing m2eclipse i get error ""A handler conflict occured""","2016-07-04 23:52:25"
335721,"m2e","ui","m2e.ui-inbox","RESOLVED","FIXED","[wizard] Add a link to the discovery UI from the SCM wizard","2011-04-01 16:36:22"
335770,"m2e","ui","m2e.ui-inbox","RESOLVED","FIXED","Please edit old m2e JIRA homepage to redirect users here","2011-02-25 05:29:26"
329145,"m2e","ui","matthew","RESOLVED","FIXED","Actions from the repository view block the UI thread","2011-03-28 14:08:24"
335488,"m2e","ui","matthew","RESOLVED","FIXED","[discovery] When no entry is found give a message","2011-03-03 16:09:04"
335491,"m2e","ui","matthew","RESOLVED","FIXED","[discovery] Add an icon to the proposal to find entries in the store","2011-02-02 10:50:27"
336411,"m2e","Core","matthew","RESOLVED","FIXED","Automatically mark target folder as Derived","2018-11-06 09:20:23"
337565,"m2e","ui","matthew","RESOLVED","FIXED","exclude dependency action issues","2011-05-12 10:18:45"
337989,"m2e","ui","matthew","RESOLVED","FIXED","[discovery] Provide a way to perform synchronous installation","2011-03-01 11:14:33"
338497,"m2e","Core","matthew","RESOLVED","FIXED","Trigger the lifecycle mapping search from scm import","2011-04-01 13:37:34"
338867,"m2e","ui","matthew","RESOLVED","FIXED","Import wizard should only check the store once per ""error"".","2011-03-09 22:18:35"
339406,"m2e","ui","matthew","RESOLVED","FIXED","Unify Import Wizards","2011-04-01 13:38:49"
339527,"m2e","Core","matthew","RESOLVED","FIXED","Snapshots not downloaded nor updated","2011-10-19 07:51:20"
339541,"m2e","Core","matthew","RESOLVED","FIXED","m2e-wtp configuration is not enabled after install-during-import","2011-03-10 15:11:02"
339824,"m2e","ui","matthew","RESOLVED","FIXED","Cannot install from m2e marketplace","2011-03-14 10:11:22"
339932,"m2e","ui","matthew","RESOLVED","FIXED","Import from SCM Quirks","2011-04-01 15:08:22"
339962,"m2e","ui","matthew","RESOLVED","FIXED","Add SCM connectors to the m2e marketplace","2011-04-01 13:36:26"
339968,"m2e","ui","matthew","RESOLVED","FIXED","Tweaks in the lifecycle page in the import wizard","2011-04-27 13:17:00"
340328,"m2e","Core","matthew","RESOLVED","FIXED","Too much activation going on","2011-03-31 17:36:02"
342379,"m2e","editors","matthew","RESOLVED","FIXED","Parent project selection should automatically fill relative path when parent is in workspace","2011-04-27 13:13:51"
342768,"m2e","editors","matthew","RESOLVED","FIXED","Adding a managed dependency in the POM editor adds version to that dependency","2011-04-20 11:44:06"
343764,"m2e","Core","matthew","RESOLVED","FIXED","Project registry maintains deleted projects","2011-05-01 23:29:01"
335152,"m2e","ui","mkleint","RESOLVED","FIXED","[regression] Configure button in archetype selection page doesn't open the Catalogs settings","2011-01-27 07:41:47"
335337,"m2e","editors","mkleint","RESOLVED","FIXED","Disable changing packaging type for aggregator project","2011-01-27 07:21:05"
335366,"m2e","editors","mkleint","RESOLVED","FIXED","XML Editor allows managed dependency with no version","2011-08-05 08:37:54"
335370,"m2e","Core","mkleint","RESOLVED","FIXED","Remove Problem Reporting preference page","2011-01-26 10:10:47"
335383,"m2e","editors","mkleint","RESOLVED","FIXED","Add dependencies & plugins defaults automatically selects snapshots","2011-08-05 06:21:45"
335385,"m2e","editors","mkleint","RESOLVED","WONTFIX","Change colour of overlay for managed dependency","2011-01-26 07:32:09"
336205,"m2e","editors","mkleint","RESOLVED","FIXED","reuse the hover component in the visual form's header","2011-02-03 11:24:03"
336313,"m2e","editors","mkleint","RESOLVED","FIXED","properties not showing up","2011-02-04 04:11:16"
336715,"m2e","ui","mkleint","RESOLVED","FIXED","issues with new maven pom file wizard","2011-03-18 16:57:20"
337186,"m2e","editors","mkleint","RESOLVED","FIXED","set version for transitive deps on hierarchy page","2011-02-28 14:56:03"
338257,"m2e","ui","mkleint","RESOLVED","FIXED","[wizard] Automatically search for project when ""Root directory"" loses focus","2011-03-11 18:33:17"
338272,"m2e","editors","mkleint","RESOLVED","FIXED","GAV disappear from form based editor","2011-03-18 03:54:59"
338496,"m2e","ui","mkleint","RESOLVED","FIXED","Minor tweaks to update configuration marker","2011-03-18 03:46:24"
338799,"m2e","ui","mkleint","RESOLVED","FIXED","import wizard error handling","2011-03-21 10:01:46"
339409,"m2e","Core","mkleint","RESOLVED","FIXED","Quickfix for non-covered plugins in pom.xml does not support multiple selection","2011-08-05 11:15:51"
339847,"m2e","editors","mkleint","RESOLVED","FIXED","wrong  scrollbars on properties section in pom editor","2011-03-18 03:44:35"
342912,"m2e","ui","mkleint","RESOLVED","FIXED","better ""ignore mojo"" quick-fix message","2011-04-28 15:48:04"
343081,"m2e","editors","mkleint","RESOLVED","FIXED","Memory leak in Maven Pom Editor","2011-04-26 08:01:50"
343817,"m2e","editors","mkleint","RESOLVED","FIXED","cannot hyperlink to managed dependency versions defined in imported dependencies.","2011-04-26 08:02:05"
343831,"m2e","ui","mkleint","RESOLVED","FIXED","Mnemonics missing in ""Maven"" context menu","2011-04-27 02:49:09"
344262,"m2e","editors","mkleint","RESOLVED","FIXED","POM editor does not show scope inherited from dependency management","2011-08-05 06:22:07"
349156,"m2e","ui","mkleint","RESOLVED","FIXED","new maven project, archetype selection filter is case sensitive","2011-06-28 10:38:54"
349494,"m2e","ui","mkleint","RESOLVED","FIXED","[ui] Changing properties of a dependency can result in new dependency","2011-08-22 01:48:12"
350136,"m2e","ui","mkleint","RESOLVED","FIXED","Dependency is added to the wrong pom","2011-06-28 10:36:02"
350203,"m2e","Core","mkleint","RESOLVED","FIXED","Spurious warning about overriding the maven-release-plugin version","2019-12-06 03:26:54"
350271,"m2e","Core","mkleint","RESOLVED","FIXED","dependency auto complete can kill eclipse","2011-08-01 04:31:32"
